id,Claude_Sonnet_4.5_Enabled/reward,Claude_Opus_4.5_High/reward,Gemini_3_Flash_High/reward,Gemini_3_Pro_High/reward,GLM_5_Enabled/reward,GPT_5.2_None/reward,GPT_5.2_High/reward,Qwen3.5_397B_A17B_Enabled/reward,difficulty
[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_off[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]data_saver_mode_on|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|unseat_sim_card[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|overdue_bill_suspension[PERSONA:None],1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]data_saver_mode_on|data_usage_exceeded[PERSONA:Easy],1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings[PERSONA:Hard],1.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,level0
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],0.75,1.0,0.75,0.75,1.0,0.25,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|data_mode_off[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mms_issue]bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard],1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,level0
[service_issue]overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,level0
[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]data_mode_off|data_usage_exceeded[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,level0
[mobile_data_issue]data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mms_issue]break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on[PERSONA:Hard],1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension[PERSONA:None],1.0,1.0,1.0,0.75,0.75,0.25,0.25,0.5,level0
[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,level0
[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]bad_network_preference|break_app_both_permissions[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None],1.0,1.0,1.0,0.75,1.0,0.0,0.75,1.0,level0
[service_issue]break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:Hard],1.0,1.0,0.75,1.0,1.0,0.25,0.5,1.0,level0
[mobile_data_issue]airplane_mode_on|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,level0
[mms_issue]break_app_sms_permission|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0.5,1.0,0.75,1.0,1.0,0.0,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_wifi_calling|user_abroad_roaming_enabled_off[PERSONA:Easy],0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,level0
[mms_issue]airplane_mode_on|break_app_both_permissions[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,0.75,1.0,1.0,1.0,0.75,0.75,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[service_issue]airplane_mode_on|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0.0,0.75,0.75,1.0,0.75,0.0,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0.75,1.0,0.5,1.0,1.0,0.25,0.25,0.75,level0
[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,level0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,level0
[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,level0
[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0.0,0.5,0.75,0.75,1.0,0.0,1.0,1.0,level0
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,level0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0.5,0.75,1.0,0.75,1.0,0.25,1.0,1.0,level0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:None],0.75,0.75,0.75,0.75,1.0,0.5,0.75,1.0,level0
[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0.75,1.0,1.0,1.0,1.0,0.25,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.75,1.0,1.0,1.0,1.0,0.75,0.75,1.0,level0
[mms_issue]break_apn_mms_setting|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:Hard],0.75,1.0,1.0,1.0,1.0,0.5,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Hard],1.0,1.0,0.75,0.5,1.0,0.75,0.75,1.0,level0
[mms_issue]bad_network_preference|break_app_sms_permission|user_abroad_roaming_disabled_on[PERSONA:Hard],0.5,1.0,0.75,1.0,1.0,0.0,0.5,1.0,level0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],1.0,0.75,1.0,0.5,1.0,0.5,1.0,1.0,level0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.75,0.5,0.75,1.0,1.0,0.0,0.75,1.0,level0
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],0.5,0.5,1.0,0.25,1.0,0.0,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],0.25,0.5,1.0,0.5,1.0,0.25,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],0.25,0.75,0.25,1.0,1.0,0.0,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],0.5,0.5,0.5,0.75,1.0,0.0,0.75,0.75,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.5,0.75,0.75,1.0,1.0,0.0,1.0,0.75,level0
[mms_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded[PERSONA:None],0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],0.75,0.5,1.0,0.0,1.0,0.0,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],0.75,0.5,1.0,0.75,1.0,0.5,0.5,0.75,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0.75,1.0,1.0,0.75,0.75,0.0,1.0,0.75,level0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.75,0.75,0.75,1.0,1.0,0.25,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],0.75,1.0,1.0,0.75,1.0,0.25,0.5,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.5,1.0,0.75,1.0,1.0,0.25,1.0,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],0.75,1.0,0.75,1.0,1.0,0.75,0.75,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.25,0.5,0.5,0.75,1.0,0.25,0.75,1.0,level0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_usage_exceeded[PERSONA:Hard],0.75,0.75,0.5,0.75,1.0,0.25,0.25,1.0,level0
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,level0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],0.25,0.75,0.75,1.0,1.0,0.0,1.0,1.0,level0
[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,level0
