id,Claude_Sonnet_4.5_Enabled/reward,Claude_Opus_4.5_High/reward,Gemini_3_Flash_High/reward,Gemini_3_Pro_High/reward,GLM_5_Enabled/reward,GPT_5.2_None/reward,GPT_5.2_High/reward,Qwen3.5_397B_A17B_Enabled/reward,difficulty
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
22,1.0,0.75,0.75,1.0,0.75,0.75,1.0,1.0,level0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
31,0.0,1.0,0.0,1.0,0.25,0.25,0.5,0.5,level0
83,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.75,level0
81,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
56,0.75,0.75,0.5,1.0,1.0,0.5,1.0,1.0,level0
34,1.0,0.75,0.75,1.0,0.75,0.75,0.75,1.0,level0
66,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,level0
99,0.25,0.25,1.0,0.5,0.75,0.75,0.75,1.0,level0
52,0.5,0.75,1.0,1.0,0.5,1.0,0.75,0.75,level0
39,1.0,0.75,1.0,1.0,0.75,0.25,1.0,1.0,level0
67,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,level0
63,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,level0
36,0.75,1.0,0.75,1.0,0.25,0.25,0.75,0.75,level0
2,0.75,0.75,0.75,0.5,1.0,1.0,0.75,0.75,level0
84,0.75,0.75,0.75,0.5,0.25,1.0,1.0,0.75,level0
35,0.75,1.0,1.0,1.0,0.75,1.0,0.75,1.0,level0
18,0.0,0.75,0.0,0.75,0.0,0.5,0.75,0.75,level0
72,0.25,0.5,0.75,0.5,0.5,1.0,0.75,1.0,level0
101,0.5,1.0,0.5,1.0,0.75,1.0,1.0,0.5,level0
38,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,level0
5,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.25,level0
7,0.5,0.75,0.75,0.75,0.0,0.5,0.75,0.75,level0
98,0.5,0.5,0.0,0.25,0.5,0.25,0.25,0.75,level0
82,1.0,1.0,0.75,0.75,0.25,0.5,0.75,0.5,level0
21,0.75,1.0,0.75,1.0,0.25,1.0,0.75,0.5,level0
9,0.5,1.0,0.5,1.0,0.25,0.75,1.0,0.75,level0
95,0.25,0.5,1.0,0.5,1.0,1.0,0.5,1.0,level0
100,0.75,0.25,0.75,0.75,0.5,0.5,0.5,0.75,level0
76,0.0,1.0,0.75,0.75,0.5,0.5,1.0,0.75,level0
47,0.5,1.0,0.75,1.0,0.75,1.0,0.75,1.0,level0
33,1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,level0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
108,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,level0
6,0.75,0.75,0.5,0.75,0.5,1.0,1.0,0.75,level0
46,1.0,1.0,0.5,1.0,0.75,0.5,0.75,1.0,level0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
92,0.75,0.5,0.75,1.0,1.0,0.75,0.75,0.75,level0
74,0.25,0.75,1.0,0.5,0.5,1.0,0.75,1.0,level0
16,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,level0
107,0.25,0.0,0.25,0.25,0.0,0.75,0.75,1.0,level0
43,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,level0
71,0.5,0.75,0.75,0.75,0.5,1.0,0.75,1.0,level0
112,0.5,0.0,0.5,0.5,0.75,0.25,0.0,0.75,level0
45,0.5,0.75,0.25,1.0,1.0,0.75,1.0,1.0,level0
54,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,level0
113,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,level0
30,0.75,0.75,0.5,0.75,0.5,0.75,1.0,0.75,level0
105,1.0,0.5,0.25,0.5,0.75,0.75,0.75,0.0,level0
111,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,level0
32,0.5,0.25,1.0,0.75,0.75,0.0,0.5,0.25,level0
37,0.75,1.0,0.75,0.75,1.0,0.5,0.5,1.0,level0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
109,0.5,0.5,1.0,0.25,0.0,0.5,0.75,1.0,level0
110,0.75,0.75,0.0,0.0,0.75,0.5,0.5,0.5,level0
102,0.5,1.0,0.75,1.0,1.0,0.75,0.75,1.0,level0
28,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.75,level0
104,0.75,0.5,1.0,0.75,1.0,1.0,0.75,0.25,level0
103,0.5,0.5,0.5,0.75,0.75,0.25,0.5,1.0,level0
