id,Ante__Gemini_3_Pro_Preview/reward,Ante__Gemini_3.1_Pro_Preview/reward,BashAgent__TermiGen_32B/reward,Capy__Claude_Opus_4.6/reward,ClaudeCode__GLM_4.7/reward,CodeBrain_1__GPT_5.3_Codex/reward,CodeBrain_1__Gemini_3_Pro_Preview/reward,Crux__Claude_Opus_4.6/reward,Deep_Agents__GPT_5.2_Codex/reward,Droid__Claude_Opus_4.6/reward,Droid__GPT_5.3_Codex/reward,Forge__GPT_5.4/reward,Forge__Gemini_3.1_Pro_Preview/reward,Forge__Opus_4.6/reward,Gemini_CLI__Gemini_3_Flash_Preview/reward,IndusAGICodingAgent__gpt_5.3_codex/reward,Judy__Claude_Opus_4.6/reward,Judy__Gemini_3.1_Pro_Preview/reward,Junie_CLI__Gemini_3_Flash_Preview_Gemini_3.1_Pro_Preview_Claude_Opus_4.6_GPT_5.3_Codex/reward,MAYA__Claude_4.5_sonnet/reward,MAYA__Claude_4.6_opus/reward,Mux__Claude_Opus_4.5/reward,Mux__Claude_Opus_4.6/reward,Mux__GPT_5.2/reward,Mux__GPT_5.3_Codex/reward,OB_1_GPT_5.3_Codex_Claude_Opus_4.5_Claude_Opus_4.6/reward,OB_1_GPT_5.4_GPT_5.3_Codex_Claude_Opus_4.5_Claude_Opus_4.6/reward,OpenCode__Claude_Opus_4.5/reward,OpenSage__GPT_5.3_Codex/reward,OpenSage__Gemini_3_Pro_Preview/reward,Simple_Codex__GPT_5.3_Codex/reward,Terminus_KIRA__Claude_Opus_4.6/reward,Terminus_KIRA__Gemini_3.1_Pro_Preview/reward,Terminus2__Claude_Opus_4.6/reward,Terminus2__DeepSeek_V3.2/reward,Terminus2__GLM_4.7/reward,Terminus2__GLM_5/reward,Terminus2__GPT_5.3_Codex/reward,Terminus2__Kimi_k2.5/reward,Terminus2__Minimax_m2.5/reward,cchuter__minimax_m2.5/reward,dakou__qwen3_coder_480b/reward,grok_cli__grok_4.20_0309_reasoning/reward,pilot_real__claude_opus_4_6/reward,terminus_2__AfterQuery_GPT_OSS_20B/reward,difficulty
compile-compcert,1.0,0.4,0.0,0.5555555555555556,0.4,0.6,1.0,1.0,0.8,0.6,0.8,1.0,1.0,1.0,0.2,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.6,0.4,1.0,0.6,0.8,0.0,0.0,0.0,0.0,1.0,0.0,level0
configure-git-webserver,0.2,0.4,0.7,1.0,0.6,0.0,1.0,1.0,0.8,0.4,0.6,1.0,1.0,1.0,0.2,0.0,0.8,0.8,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,1.0,0.0,0.2,0.6,0.0,0.4,1.0,0.8,1.0,1.0,0.8,0.4,0.6,1.0,1.0,0.6,level0
constraints-scheduling,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.2,1.0,1.0,1.0,level0
count-dataset-tokens,0.8,0.8,0.0,1.0,0.2,1.0,0.6,0.4,1.0,0.6,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.0,0.8,1.0,1.0,0.8,1.0,0.6,0.6,0.3333333333333333,0.8,1.0,0.4,1.0,0.6,0.6,0.8,1.0,0.0,level0
custom-memory-heap-crash,1.0,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.8,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.0,level0
distribution-search,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.0,1.0,1.0,1.0,level0
dna-assembly,0.4,0.8,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.4,0.0,1.0,0.6,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,1.0,0.2,0.2,0.8,0.6,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
extract-elf,0.8,0.4,0.0,1.0,0.0,0.4,1.0,0.25,0.8,0.8,0.8,1.0,1.0,1.0,0.2,0.4,1.0,0.8,0.6,0.0,0.6666666666666666,0.0,0.0,0.0,0.6,0.4,0.8,0.0,0.8,1.0,0.8,1.0,0.6,0.8,1.0,0.0,0.6,0.4,0.4,0.6,0.8,0.8,1.0,1.0,0.2,level0
extract-moves-from-video,0.2,0.0,0.0,0.2222222222222222,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
feal-differential-cryptanalysis,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.8,0.2,0.5,1.0,0.2,0.0,0.2,0.2,0.8,1.0,0.0,level0
feal-linear-cryptanalysis,1.0,1.0,0.5,1.0,0.0,1.0,0.8,0.5,1.0,0.2,1.0,1.0,0.6,0.6,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,level0
fix-code-vulnerability,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,1.0,1.0,0.8,0.8,0.2,1.0,1.0,0.2,level0
fix-git,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
fix-ocaml-gc,1.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.8,1.0,0.2,0.5,0.0,0.0,1.0,1.0,0.4,level0
git-leak-recovery,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.6,level0
git-multibranch,0.8,0.8,0.2,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,0.0,0.4,level0
headless-terminal,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.0,0.8,0.0,0.8,1.0,1.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.4,0.6666666666666666,0.0,0.8,level0
hf-model-inference,1.0,1.0,0.2,1.0,0.2,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,1.0,1.0,0.8,1.0,0.6,0.8,1.0,1.0,0.75,level0
kv-store-grpc,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,level0
large-scale-text-editing,1.0,1.0,0.0,1.0,0.0,0.8,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.75,1.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.0,0.4,0.8,1.0,0.8,0.4,1.0,0.0,0.8333333333333334,1.0,0.0,level0
largest-eigenval,1.0,1.0,0.0,0.8888888888888888,0.2,0.8,0.8,1.0,0.8,1.0,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.8,0.4,0.8,0.8,0.2,0.6666666666666666,1.0,0.0,level0
llm-inference-batching-scheduler,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.8,1.0,0.8,0.4,0.4,0.0,0.6666666666666666,1.0,0.0,level0
log-summary-date-ranges,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.6,level0
mailman,1.0,1.0,0.0,0.7777777777777778,0.4,1.0,1.0,0.6,1.0,0.8,1.0,0.2,0.6,0.0,0.6,0.6,0.8,1.0,0.4,1.0,0.8,0.0,0.2,0.0,0.4,0.8,0.6,0.0,1.0,1.0,1.0,0.6,0.8,0.8,0.8,0.25,1.0,0.8,0.0,1.0,1.0,0.0,1.0,0.4,0.0,level0
mcmc-sampling-stan,1.0,0.8,0.0,1.0,1.0,0.8,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,0.8,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.4,1.0,0.8,1.0,0.6,0.8,0.2,0.0,1.0,0.2,level0
merge-diff-arc-agi-task,1.0,0.8,0.0,1.0,0.4,1.0,1.0,0.75,0.2,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,0.6,1.0,0.75,0.8,1.0,1.0,0.6,level0
modernize-scientific-stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.8,level0
mteb-retrieve,0.6,1.0,0.0,0.0,0.0,0.2,0.0,0.25,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,0.0,0.0,0.0,0.2,0.6,0.2,0.0,1.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
multi-source-data-merger,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.8,level0
nginx-request-logging,1.0,1.0,0.9,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,1.0,1.0,0.2,level0
openssl-selfsigned-cert,1.0,0.8,0.0,0.5555555555555556,0.8,1.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.6,1.0,1.0,0.0,0.6666666666666666,0.8,0.6,level0
overfull-hbox,1.0,1.0,0.0,1.0,0.2,0.6,1.0,0.6,0.4,1.0,0.4,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.4,0.0,1.0,0.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,level0
password-recovery,1.0,0.8,0.2,1.0,0.2,1.0,0.4,0.8,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.4,0.4,1.0,0.8,0.4,0.4,0.2,0.0,0.5,1.0,0.0,level0
path-tracing,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6,1.0,1.0,1.0,1.0,1.0,0.6,0.3333333333333333,0.6,0.6,0.4,0.0,0.0,0.0,0.8,0.0,0.8,0.0,1.0,0.0,0.8,0.0,1.0,0.5,0.8,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,1.0,0.0,level0
polyglot-c-py,0.2,0.0,0.0,1.0,0.0,0.2,0.8,0.6,0.8,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6,0.0,0.6,0.0,0.0,0.0,0.2,0.6,1.0,0.0,1.0,1.0,0.8,1.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
polyglot-rust-c,0.8,0.0,0.0,0.8,0.0,0.4,1.0,0.4,0.2,1.0,0.8,1.0,1.0,1.0,0.0,0.0,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
portfolio-optimization,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8,level0
protein-assembly,0.8,1.0,0.0,1.0,0.0,0.6,0.0,0.4,1.0,0.8,1.0,1.0,1.0,1.0,0.4,0.8,0.8,1.0,1.0,0.0,1.0,0.0,0.6,0.0,0.6,1.0,0.8,0.0,1.0,0.0,1.0,1.0,1.0,0.8,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
prove-plus-comm,1.0,1.0,0.6,0.8,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6,level0
pypi-server,1.0,1.0,0.8,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.2,1.0,1.0,0.8,level0
pytorch-model-cli,1.0,0.8,0.6,1.0,0.6,1.0,1.0,0.8,0.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.6,1.0,0.4,1.0,1.0,0.6,1.0,0.8,0.0,1.0,1.0,0.2,level0
pytorch-model-recovery,1.0,1.0,0.2,0.6,0.0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,1.0,0.8,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.75,1.0,0.8,0.25,1.0,0.0,0.6,level0
qemu-startup,0.4,0.0,0.4,1.0,0.6,0.8,0.6,0.8,1.0,1.0,1.0,0.6,1.0,1.0,0.0,1.0,1.0,0.6,1.0,0.0,0.8,1.0,0.8,0.0,1.0,0.8,1.0,0.0,1.0,1.0,0.6,0.8,1.0,1.0,0.8,0.6,0.6,1.0,1.0,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,level0
query-optimize,0.8,1.0,0.0,0.2,0.0,0.0,0.6,0.5,0.4,0.4,0.4,1.0,1.0,0.8,0,0.2,0.75,0.6666666666666666,0.6,1.0,0.2,0.0,0.4,0.0,0.6,0.2,1.0,0.0,0.5,0.2,0.6,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.0,1.0,0.6,0.2,0.0,1.0,0,level0
regex-log,1.0,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.4,0.6,0.6,1.0,1.0,0.2,level0
reshard-c4-data,0.8,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.8,0.6,0.8,0.0,1.0,1.0,0.0,level0
sanitize-git-repo,0.6,0.8,0.0,1.0,0.2,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0,1.0,0.8,1.0,1.0,0.6,0.2,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.4,0.5,1.0,0.0,level0
schemelike-metacircular-eval,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2,1.0,0.6,1.0,1.0,1.0,0.8,0.4,1.0,0.6,1.0,0.6,0.0,1.0,1.0,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.2,1.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.2,0.0,0.16666666666666666,0.6,0.0,level0
sparql-university,0.8,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8,0.4,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0,1.0,0.4,0.6,0.6,1.0,0.2,0.4,0.4,0.0,1.0,1.0,0.0,level0
sqlite-db-truncate,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.8,1.0,0.75,0.6,0.25,0.0,0.8,1.0,0.0,level0
